Solution ID,Alert Category,Alert Pattern (Trigger Match),Match Type,Zabbix Severity (Input),AI Severity (Output),Actionable,AI Decision,Requires Tag,Email Template,Action Type,Action 1 (Primary),Action 2 (Fallback),Action 3 (Final),Post-Action Verification,Resolution Message,KB Trigger Examples,Total Incidents (Tested),Auto-Remediated,Ticket Created,Escalated,Weekly Frequency (Live Zabbix)
S001,website-down,This Website is Down,contains,Average / High,high,YES,auto-remediate,auto-restart=true,ops-summary,service_restart_then_ec2,Service restart via SSM Run Command,EC2 restart (tag: auto-restart=true) if service restart fails,Escalate to human if EC2 restart fails,HTTP health check on service URL — expect 200 OK within 2 min,Website was unreachable. Service restarted and verified healthy.,This Website is Down | Website check failed,9,9,0,0,19x/week
S001b,website-down,health check failed,contains,Average / High,high,YES,auto-remediate,auto-restart=true,ops-summary,service_restart_then_ec2,Service restart via SSM Run Command,EC2 restart (tag: auto-restart=true) if service restart fails,Escalate to human if EC2 restart fails,HTTP health check on service URL — expect 200 OK within 2 min,Service health check was failing. Application service restarted and verified healthy.,CMT Backend API: Backend health check failed | {TRIGGER.NAME}: {STEP.NAME} failed,3,3,0,0,19x/week
S002,high-memory,High memory utilization,contains,Average / High,high,YES,auto-remediate,None,high_memory,email_client,Send client communication email with high-memory template,Monitor — if memory stays >95% for 30 min: restart EC2 (tag: auto-restart=true),Escalate to human if memory remains critical after restart,Poll memory utilization via Zabbix API — expect drop below 85% within 5 min,Memory utilization alert communicated to client. Monitoring for resolution.,Linux: High memory utilization (>90% for 5m) | Linux: High memory utilization (>98% for 5m),8,8,0,0,29x/week
S003,service-down,AwsReplicationVolumeUpdaterService,contains,Average,medium,YES,auto-remediate,auto-restart=true,ops-summary,local_restart_then_ssm,Local service restart via SSM: net start AwsReplicationVolumeUpdaterService,Full SSM service reset: sc stop → sc start with 60s wait,Escalate to human if service still not running after SSM reset,SSM Run Command: sc query AwsReplicationVolumeUpdaterService — expect RUNNING state,AwsReplicationVolumeUpdaterService restarted successfully.,"Windows: ""AwsReplicationVolumeUpdaterService"" (AwsReplicationVolumeUpdaterService) is not running (startup type automatic)",8,8,0,0,9x/week
S004,agent-unavailable,Zabbix agent is not available,contains,Average / High,medium,YES,auto-remediate,auto-restart=true,ops-summary,zabbix_service_restart,Restart Zabbix agent service via SSM (systemctl restart zabbix-agent2),Verify agent connectivity in Zabbix after restart,Escalate to human if still unavailable,Poll Zabbix host availability — expect agent status = available within 3 min,Zabbix agent service restarted and connectivity restored.,Linux: Zabbix agent is not available (or nodata for 30m) | Zabbix agent is not available,8,8,0,0,6x/week
S005,agent-unavailable,Active checks are not available,contains,Average / High,medium,YES,auto-remediate,auto-restart=true,ops-summary,zabbix_service_restart,Restart Zabbix agent service via SSM (systemctl restart zabbix-agent2),Verify agent connectivity in Zabbix after restart,Escalate to human if still unavailable,Poll Zabbix host availability — expect agent status = available within 3 min,Zabbix agent service restarted and connectivity restored.,Linux: Zabbix agent is not available (or nodata for 30m) | Zabbix agent is not available,8,8,0,0,6x/week
S006,high-cpu,High CPU utilization,contains,Warning / Average,medium,NO,create-ticket,None,high_cpu,email_client,Send client email notification with alert-specific template,Create ManageEngine ticket for tracking,Monitor — escalate if condition persists >30 min,Monitor trigger status — auto-close ticket if resolved within 30 min,N/A,Windows: High CPU utilization | Linux: High CPU utilization,5,0,3,2,8x/week
S007,high-cpu,CPU queue length is too high,contains,Warning / Average,medium,NO,create-ticket,None,high_cpu,email_client,Send client email notification with alert-specific template,Create ManageEngine ticket for tracking,Monitor — escalate if condition persists >30 min,Monitor trigger status — auto-close ticket if resolved within 30 min,N/A,Windows: CPU queue length is too high (over 3 for 5m),3,0,0,3,5x/week
S008,disk-space,disk space,contains,Average / High,high,NO,human-approval-required,None,disk_space,human_approval_then_expand,"Send client email with disk-space template — include current usage, filesystem, and expansion options",Await client approval: client replies specifying X GB increment → human confirms in ticket,After human approval: expand EBS volume by X GB via AWS SDK → extend filesystem → verify new free space,Await human approval response — verify disk utilization drops after volume expansion,Client approved storage expansion. Volume expanded and filesystem resized successfully.,Linux: disk space is critically low | Windows: disk space is low,0,0,0,0,2x/week
S009,ec2-terminated,is terminated,contains,Disaster,critical,NO,escalate,None,ec2_terminated,conditional,Identify instance type: check if EC2 or ECS task/container instance,"If EC2 in ASG: ignore (ASG replaces). If EC2 not in ASG: escalate to human. If ECS task: check if service auto-recovery is enabled — if yes ignore, if no escalate",Create high-priority ManageEngine ticket + urgent SES email for non-ASG/non-auto-recovery terminations,Verify ASG replacement launched (if ASG) or confirm human acknowledged ticket,N/A,AWS EC2: {HOST.NAME} is terminated | AWS ECS: {HOST.NAME} is terminated,8,0,0,8,1x/week
S010,host-restarted,Host has been restarted,contains,Warning / Info,low,NO,create-ticket,None,host_restarted,email_client,Send client email notification with alert-specific template,Create ManageEngine ticket for tracking,Monitor — escalate if condition persists >30 min,Monitor trigger status — auto-close ticket if resolved within 30 min,N/A,Windows: Host has been restarted (uptime < 10m) | Linux: System has just been restarted,0,0,0,0,5x/week
S011,high-load,Load average is too high,contains,Average,medium,NO,create-ticket,None,high_load,email_client,Send client email notification with alert-specific template,Create ManageEngine ticket for tracking,Monitor — escalate if condition persists >30 min,Monitor trigger status — auto-close ticket if resolved within 30 min,N/A,Linux: Load average is too high (per CPU load over 1.5 for 5m),1,0,1,0,5x/week
